player_of_match,COUNT(player_of_match)
AB de Villiers,23
CH Gayle,22
RG Sharma,18
MS Dhoni,17
DA Warner,17
SR Watson,16
YK Pathan,16
SK Raina,14
G Gambhir,13
V Kohli,13
